# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\SDRAM_5\sdram.csv
# Generated on: Tue Sep 10 15:51:03 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
CLOCK_50,Input,PIN_AF14,3B,B3B_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_ADDR[11],Output,PIN_AE18,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_ADDR[10],Output,PIN_AG17,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_ADDR[9],Output,PIN_AD20,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_ADDR[8],Output,PIN_AD19,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_ADDR[7],Output,PIN_AK21,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_ADDR[6],Output,PIN_AH20,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_ADDR[5],Output,PIN_AJ20,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_ADDR[4],Output,PIN_AH19,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_ADDR[3],Output,PIN_AC20,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_ADDR[2],Output,PIN_AE17,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_ADDR[1],Output,PIN_AA19,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_ADDR[0],Output,PIN_AA18,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_BA[1],Output,PIN_AF16,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_BA[0],Output,PIN_AE16,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_CAS_N,Output,PIN_AH18,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_CKE,Output,PIN_AE19,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_CLK,Output,PIN_AF20,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_CS_N,Output,PIN_AG16,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[15],Bidir,PIN_AA21,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[14],Bidir,PIN_AB17,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[13],Bidir,PIN_AJ21,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[12],Bidir,PIN_AG18,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[11],Bidir,PIN_AG20,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[10],Bidir,PIN_AF18,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[9],Bidir,PIN_AG21,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[8],Bidir,PIN_AF19,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[7],Bidir,PIN_AJ19,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[6],Bidir,PIN_AK19,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[5],Bidir,PIN_AK18,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[4],Bidir,PIN_AK16,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[3],Bidir,PIN_Y18,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[2],Bidir,PIN_AD17,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[1],Bidir,PIN_Y17,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_DQ[0],Bidir,PIN_AC18,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_LDQM,Output,PIN_AJ17,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_RAS_N,Output,PIN_AH17,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_UDQM,Output,PIN_AF21,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
DRAM_WE_N,Output,PIN_AJ16,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
KEY[3],Input,PIN_Y16,3B,B3B_N0,3.3-V LVCMOS,,,,,,,,,,,,,
KEY[2],Input,PIN_W15,3B,B3B_N0,3.3-V LVCMOS,,,,,,,,,,,,,
KEY[1],Input,PIN_AA15,3B,B3B_N0,3.3-V LVCMOS,,,,,,,,,,,,,
KEY[0],Input,PIN_AA14,3B,B3B_N0,3.3-V LVCMOS,,,,,,,,,,,,,
LEDR[9],Output,PIN_Y21,5A,B5A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
LEDR[8],Output,PIN_W21,5A,B5A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
LEDR[7],Output,PIN_W20,5A,B5A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
LEDR[6],Output,PIN_Y19,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
LEDR[5],Output,PIN_W19,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
LEDR[4],Output,PIN_W17,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
LEDR[3],Output,PIN_V18,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
LEDR[2],Output,PIN_V17,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
LEDR[1],Output,PIN_W16,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
LEDR[0],Output,PIN_V16,4A,B4A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
SW[9],Input,PIN_AE12,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
SW[8],Input,PIN_AD10,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
SW[7],Input,PIN_AC9,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
SW[6],Input,PIN_AE11,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
SW[5],Input,PIN_AD12,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
SW[4],Input,PIN_AD11,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
SW[3],Input,PIN_AF10,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
SW[2],Input,PIN_AF9,3A,B3A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
